Date de création,Type,Catégorie,Équipe,Produit,Ligne,Famille,Défaut,Qte défaut,"Phase d'origine",Phase de détection
2025-04-22,Scrap,process,A Midi,V420284 SIM ELEC,Sim Elec,SIM ELEC,marquage illisible,2,test electrique,test electrique
2025-04-23,Scrap,process,Matin,VM4 Tower,VM4 Partie A,VM4,Tour brûlée,6,robot  de brasage,robot  de brasage
2025-04-24,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,marquage illisible,7,identification de pièce par marquage,identification de pièce par marquage
2025-04-23,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Lame déformée,1,Bouterollage lame balai sur boitier,Mise en place condo axial
2025-04-23,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Patte de masse déformée,1,soudure électrique condo sur lame,Montage self / lame
2025-04-23,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,mauvaise bouterollage condo axial,2,Boutrollage condo axial,Montage self / lame
2025-04-23,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Soudure self  écrasée,6,soudure électrique self sur lame,MEP condo  + Retournement boitier
2025-04-23,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Marquage décalé,3,Test électrique,Test électrique
2025-04-21,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Mauvaise  marquage,4,Test électrique Flex 2,poste de contrôle final Flex 2
2025-04-21,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Soudure self éclaté,2,soudure électrique self / shunt  sur lame Flex2,poste de contrôle final Flex 2
2025-04-21,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Lame déformée,1,Sertissage lamme boitier et boutrollage Flex-2,MEP condo  + Retournement boitier
2025-04-21,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Mauvais bouterollage lame balai /boitier,5,Sertissage lamme boitier et boutrollage Flex-2,Mise en place self / shunt Flex-2
2025-04-21,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Lame mal sertie,14,Sertissage lamme boitier et boutrollage Flex-2,Mise en place self / shunt Flex-2
2025-04-22,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,Mauvais sertissage lame_lyre,16,sertissage lame/ lyre,
2025-04-21,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Soudure self éclaté,2,soudure électrique balais 1 et self 1,soudure électrique balais 1 et self 1
2025-04-21,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Soudure self éclaté,2,soudure self terminals,soudure self terminals
2025-04-21,Scrap,defaut,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,soudure condo/EMC écrasé,2,Soudure électrique de 2 pattes condo et contact EMC,Controle Finale GENII C
2025-04-21,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Soudure self éclaté,1,soudure électrique contact self 3 OU PTH SELF,soudure électrique contact self 3 OU PTH SELF
2025-04-22,Scrap,process,Matin,BACK UP ANTENNA K0,back up antenna,BACK UP ANTENNA,"Exés d'étain sur fil",3,BUA controle vision,BUA Soudure étain des terminals
2025-04-22,Scrap,process,Matin,BACK UP ANTENNA K0,back up antenna,BACK UP ANTENNA,Fil débobiné,1,BUA controle vision,BUA Soudure étain des terminals
2025-04-22,Scrap,process,Matin,PPC VM4/HOARAIRE,VM4 AUTO I,VM4,bakélite cassé,3,montage composants sur convoyeur,montage composants sur convoyeur
2025-04-22,Scrap,process,Matin,PPC VM4/HOARAIRE,VM4 AUTO I,VM4,contact déformé,2,montage composants sur convoyeur,boutrollage et test électrique et caméra
2025-04-22,Scrap,process,Matin,PPC VM4/HOARAIRE,VM4 AUTO I,VM4,reteneur.. cassé,4,montage composants sur convoyeur,montage composants sur convoyeur
2025-04-22,Scrap,process,Matin,PPC VM4/HOARAIRE,VM4 AUTO I,VM4,soudure écrasé,2,soudure tresse/self M1,soudure tresse/self M1
2025-04-22,Scrap,process,Matin,VM4 Tower,VM4 Partie A,VM4,Tour brûlée,8,robot de brasage,robot de brasage
2025-04-22,Scrap,process,Matin,PPC VM4/HOARAIRE,VM4 AUTO I,VM4,soudure écrasé,2,soudure électrique rivet et 3éme self,soudure électrique rivet et 3éme self
2025-04-22,Scrap,process,Matin,VM4 Tower,VM4 Partie A,VM4,flux sur tour,4,robot de brasage,robot de brasage
2025-04-22,Scrap,process,Matin,SIM II,sim 2,SIM,boitier cassé,3,insertion rotule,insertion rotule
2025-04-22,Scrap,process,Matin,SIM II,sim 2,SIM,marquage illisible,1,test electrique,controle finale
2025-04-22,Scrap,process,Matin,PPC MNG2 2L2C,Mng 2.1,MNG,plaquette cassée,3,Test électrique,Test électrique
2025-04-22,Scrap,process,Matin,PPC FLEX,Flex2,FLEX,Self mal plaquée haut,22,Mise en place self / shunt Flex-2,MEP condo  + PTH + Retournement boitier Flex 2
2025-04-22,Scrap,process,Matin,PPC FLEX,Flex2,FLEX,Mauvais bouterollage lame balai /boitier,3,Sertissage lamme boitier et boutrollage Flex-2,Mise en place self / shunt Flex-2
2025-04-22,Scrap,process,Matin,PPC FLEX,Flex2,FLEX,Soudure self éclaté,4,soudure électrique self / shunt  sur lame Flex2,MEP condo  + PTH + Retournement boitier Flex 2
2025-04-22,Scrap,reglage,Matin,PPC MNG2 2L2C,Mng 2.1,MNG,plaquette cassée,1,Sertissage et deshuntage des plaquettes sur la piste_44,Sertissage et deshuntage des plaquettes sur la piste_44
2025-04-22,Scrap,process,Matin,ligne 2,Preparation CM4,CM4,Boitier endommagée,4,sertissage automatique de 2 inserts+patte de masse,retournement
2025-04-22,Scrap,process,Matin,PPC FLEX,Flex2,FLEX,marquage décalé,3,Test électrique Flex 2,Test électrique Flex 2
2025-04-22,Scrap,reglage,Matin,PPC First plastique,F.P,FIRST PLASTIQUE,Platine cassé,1,Verrouillage self / tresse,Déchargement palette
2025-04-22,Scrap,process,Matin,PPC First plastique,F.P,FIRST PLASTIQUE,Self déformée,48,Verrouillage self / tresse,Déchargement palette
2025-04-22,Scrap,reglage,Matin,PPC First plastique,F.P,FIRST PLASTIQUE,muret cassée,5,Verrouillage self / tresse,Déchargement palette
2025-04-22,Scrap,process,Matin,CM4-NL,CM3-CM4 Ligne 2,CM4,Mauvaise soudure self/PTH,2,Soudure self sur PTH P A,controle aspect soudure
2025-04-22,Scrap,process,Matin,CM4-NL,CM3-CM4 Ligne 2,CM4,fourchette ouvert 3,1,soudure fourchette self P A,controle aspect soudure
2025-04-22,Scrap,reglage,A Midi,VM4 Tower,VM4 Partie A,VM4,Tour brûlée,6,robot  de brasage,robot  de brasage
2025-04-22,Scrap,reglage,A Midi,PPC VM4/ANTI HORAIRE,VM4 AUTO I,VM4,contact déformé,5,boutrollage et test électrique et caméra,montage composants sur convoyeur
2025-04-22,Scrap,reglage,A Midi,PPC VM4/ANTI HORAIRE,VM4 AUTO I,VM4,soudure écrasé,2,soudure électrique PTH & PDM,soudure électrique PTH & PDM
2025-04-22,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,patte de masse tordue,15,Boutollage PDM,Mise en place des ressorts
2025-04-22,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,boitier cassé,8,Enfonçage de la rotule sur le boîtier,
2025-04-22,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,marquage illisible,6,identification de pièce par marquage,identification de pièce par marquage
2025-04-22,Scrap,process,A Midi,PPC GEN2,GEN2 Réversible,GEN2 REVERSIBLE,Boitier cassé,2,Botrollage,test electrique et controle caméra
2025-04-22,Scrap,formation,A Midi,PPC GEN2,GEN2 Réversible,GEN2 REVERSIBLE,Muret cassé,3,convoyeur,soudure self terminals
2025-04-22,Scrap,process,A Midi,PPC GEN2,GEN2 Réversible,GEN2 REVERSIBLE,Boitier brulé,1,Botrollage,test electrique et controle caméra
2025-04-22,Scrap,process,A Midi,PPC GEN2,GEN2 Réversible,GEN2 REVERSIBLE,Data matrix NC,3,test electrique et controle caméra,controle finale GEN2 REV
2025-04-22,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Soudure self  écrasée,3,soudure électrique self sur lame,MEP condo  + Retournement boitier
2025-04-22,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Marquage décalé,2,Test électrique,Test électrique
2025-04-22,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Balai cassé,25,Assemblage balai / Lame ressort,Insertion lame/balai sur boitier
2025-04-22,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Mauvaise marquage,3,Test électrique,Test électrique
2025-04-22,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Lame déformée,2,Test électrique,Test électrique
2025-04-22,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Boîtier cassé,1,Boutrollage condo axial,Montage self / lame
2025-04-22,Scrap,process,A Midi,B8,B8,B8,Court circuit,1,test électrique & impression galia,test électrique & impression galia
2025-04-22,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Balai mal serti,76,Assemblage balai / Lame ressort,Insertion lame/balai sur boitier
2025-04-22,Scrap,reglage,A Midi,B8,B8,B8,soudure connecteur éclaté,1,soudure connecteur sur platine,soudure connecteur sur platine
2025-04-22,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,Lame déformée,2,Insertion lame/balai sur boitier_Flex 2,poste de contrôle final Flex 2
2025-04-22,Scrap,process,A Midi,Préparation CM3 réf 779,Preparation CM3,CM3,Boitier endommagé,12,Sertissage automatique des pin 2&4,Retournement
2025-04-22,Scrap,reglage,A Midi,B8,B8,B8,Platine cassé,1,déschuntage platine,pose ressort
2025-04-22,Scrap,reglage,A Midi,B8,B8,B8,condo coupé,4,soudure condo sur connecteur,soudure condo sur connecteur
2025-04-22,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,Languette tordue,2,Chargement et déchargement boitier sur palette_Flex 2,poste de contrôle final Flex 2
2025-04-22,Scrap,process,A Midi,Préparation CM3 réf 779,Preparation CM3,CM3,Balais cassé,32,montage self/balais sur boitier,controle préparation
2025-04-22,Scrap,process,A Midi,PPC MNG2 2L2C,Mng 2.1,MNG,plaquette cassée,2,POSTE DE CONTRÔLE PARTIE B,POSTE DE CONTRÔLE PARTIE B
2025-04-22,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,Soudure self  écrasée,3,soudure électrique self / shunt  sur lame Flex2,poste de contrôle final Flex 2
2025-04-22,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,Double marquage,1,Test électrique Flex 2,poste de contrôle final Flex 2
2025-04-22,Scrap,process,A Midi,PPC MNG2 2L2C,Mng 2.1,MNG,plaquette cassée,1,poste de montage reteneur,poste de montage reteneur
2025-04-22,Scrap,process,A Midi,503.908,DCK,DCK,Guide écrasée,3,Insertion balai / self,Insertion balai / self
2025-04-22,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,Mauvais bouterollage lame balai /boitier,1,Sertissage lamme boitier et boutrollage Flex-2,Mise en place self / shunt Flex-2
2025-04-22,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,Mauvaise  marquage,2,Test électrique Flex 2,poste de contrôle final Flex 2
2025-04-22,Scrap,reglage,A Midi,PPC FLEX,Flex2,FLEX,Mélange référence,2,Test électrique Flex 2,poste de contrôle final Flex 2
2025-04-22,Scrap,process,A Midi,503.908,DCK,DCK,Bakelite cassé,4,Insertion balai / self,Insertion balai / self
2025-04-22,Scrap,process,A Midi,SIM II,sim 2,SIM,boitier cassé,4,déclenchement balais +conformage tresse,déclenchement balais +conformage tresse
2025-04-22,Scrap,process,A Midi,503.908,DCK,DCK,guide mal serti,1,Insertion balai / self,Insertion balai / self
